id,nombre,descripcion,ph_min,ph_max,humedad_min,humedad_max,altitud_min,altitud_max,temp_min,temp_max
501,Vicia,Leguminosa usada en mezcla con gramíneas,6.12,7.37,52.7,78.8,1113,2934,9.4,24.3
502,Cebada Forrajera,Excelente para climas templados,6.19,7.5,52.5,76.1,1442,3262,7.2,20.3
503,Festuca,Gramínea perenne para clima frío,5.49,7.04,61.3,85.8,1739,3274,7.8,19.4
504,Dactylis Glomerata,Pasto resistente al frío,5.42,6.96,55.6,80.0,1702,3265,7.3,20.0
505,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.69,7.35,50.3,77.8,1565,3268,10.1,23.9
506,Pasto Sudan,Híbrido de rápido crecimiento,4.88,7.07,43.7,72.3,14,1714,22.9,37.7
507,Arachis Pintoi,Leguminosa rastrera tropical,4.83,6.65,52.3,87.3,0,1865,20.4,33.4
508,Calliandra,Arbusto forrajero rico en proteína,5.59,7.52,48.2,77.8,74,2421,18.4,29.6
509,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.11,7.2,42.2,73.4,77,1833,21.6,35.0
510,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.07,7.18,54.5,87.3,96,2200,18.2,31.2
511,Pasto Elefante,Forraje tropical de alta producción,5.49,6.81,58.9,82.4,0,1838,21.0,34.0
512,Alfalfa,Leguminosa rica en proteína para ganado,6.07,7.33,48.6,72.3,1080,3157,14.8,29.0
513,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.47,6.31,42.0,76.8,32,2074,21.4,35.8
514,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.86,6.92,46.4,77.0,0,2108,19.2,34.4
515,Pasto Guinea,Pasto tropical de rápido crecimiento,5.07,7.1,54.1,82.9,0,1720,21.6,33.7
516,Pasto Kikuyo,Muy usado en lechería de clima frío,5.61,6.86,66.2,88.9,1755,3202,9.5,21.2
517,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.88,7.21,66.2,86.5,1818,3185,7.3,20.8
518,Ray Grass Italiano,Forraje de alta digestibilidad,5.9,6.91,58.8,87.1,1544,3003,10.2,22.3
519,Maíz Forrajero,Utilizado principalmente para ensilaje,5.64,6.9,53.6,77.4,33,2447,18.6,32.7
520,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.08,6.84,45.2,71.3,11,2138,20.1,38.0
521,Avena Forrajera,Excelente producción en clima frío,5.76,7.18,59.9,82.4,1421,3101,8.3,19.7
522,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.9,7.4,57.6,74.9,1286,2813,12.1,23.2
523,Trébol Rojo,Forraje de buena calidad nutricional,5.95,7.05,47.3,72.1,1212,2980,10.6,23.7
524,Canavalia,Leguminosa usada como cobertura y forraje,5.45,7.68,50.6,81.1,0,1789,20.5,31.9
525,Leucaena,Árbol forrajero rico en proteína,5.43,7.41,43.9,76.8,46,1849,22.9,34.1
526,Botón de Oro,Forraje arbustivo de alta proteína,4.99,6.9,51.2,85.4,0,2429,17.1,30.4
527,King Grass,Variedad de pasto de gran rendimiento,5.4,7.14,62.4,87.6,51,1875,22.6,35.1
528,Pasto Estrella,Pasto tropical resistente al pastoreo,4.81,6.76,52.1,79.7,0,2023,22.5,36.2
529,Pasto Tanner,Pasto adaptado a suelos húmedos,4.91,6.56,69.3,92.3,0,1463,22.6,33.9
530,Pasto Pangola,Excelente digestibilidad para bovinos,5.13,7.0,53.2,77.8,80,1705,19.2,36.0
531,Moringa,Árbol forrajero con alto contenido nutricional,4.9,7.31,40.3,71.5,0,1507,24.4,38.5
532,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.92,7.07,49.2,74.5,0,2028,19.8,33.5
533,Pennisetum Purpureum,Pasto tropical para corte,5.36,6.93,59.1,84.9,0,1790,22.9,36.0
534,Maralfalfa,Pasto híbrido de alta producción,5.63,6.93,57.1,83.3,0,1988,20.3,35.6
535,Caña Forrajera,Utilizada como suplemento energético,4.88,7.36,55.0,77.7,0,1748,22.5,36.8
536,Centrosema,Leguminosa tropical rastrera,5.06,6.92,54.0,85.0,83,1795,19.7,34.7
537,Desmodium,Leguminosa de buena digestibilidad,5.44,6.94,48.1,77.2,56,2216,18.5,31.8
538,Guandul,Leguminosa arbustiva resistente,5.07,7.7,43.8,73.0,9,2035,19.7,34.0
539,Caupí Forrajero,Leguminosa anual tropical,5.08,6.91,49.4,77.5,12,1708,22.3,34.7
540,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.99,6.94,46.2,82.0,0,2255,19.6,35.4
541,Pasto Alemán,Forraje adaptado a zonas húmedas,4.98,6.53,70.2,96.3,0,1270,22.4,33.8
542,Pasto Jaragua,Muy resistente a altas temperaturas,4.96,6.8,37.9,67.3,2,1761,23.3,38.9
543,Pasto Angleton,Forraje tropical para pastoreo,5.08,6.94,43.6,77.2,27,1738,22.4,36.7
544,Pasto Toledo,Variedad mejorada de brachiaria,4.87,6.81,52.9,77.3,0,2162,20.8,34.7
545,Pasto Mombasa,Alta producción de biomasa,5.0,6.81,53.2,77.7,0,1707,22.7,34.1
546,Pasto Tanzania,Excelente calidad nutricional,4.91,6.96,54.2,82.4,26,1873,21.5,35.3
547,Pasto Mulato II,Híbrido resistente y nutritivo,5.12,6.86,49.3,79.7,0,2169,19.4,36.1
548,Pasto Humidícola,Ideal para terrenos inundables,4.53,6.57,73.7,95.0,0,1168,22.1,34.4
549,Pasto Rhodes,Muy usado en sistemas ganaderos,5.05,7.0,43.4,73.2,0,2136,19.4,36.2
550,Pasto Buffel,Excelente resistencia a sequía,5.14,7.52,36.2,66.9,65,1707,24.1,39.8
551,Soja Forrajera,Fuente rica en proteína vegetal,5.66,7.35,48.0,75.6,0,1807,20.5,32.4
552,Vicia,Leguminosa usada en mezcla con gramíneas,6.19,7.45,55.3,77.9,1158,3070,9.4,24.7
553,Cebada Forrajera,Excelente para climas templados,6.13,7.56,52.0,73.6,1584,3248,7.5,19.1
554,Festuca,Gramínea perenne para clima frío,5.45,7.04,59.3,84.1,1724,3218,8.5,19.5
555,Dactylis Glomerata,Pasto resistente al frío,5.63,6.89,56.5,78.7,1751,3192,7.2,19.5
556,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.59,7.64,48.3,77.3,1518,3234,9.3,23.1
557,Pasto Sudan,Híbrido de rápido crecimiento,5.06,7.04,43.5,70.9,0,1852,23.0,38.4
558,Arachis Pintoi,Leguminosa rastrera tropical,4.82,6.63,53.6,87.9,46,1773,20.7,34.6
559,Calliandra,Arbusto forrajero rico en proteína,5.61,7.33,51.7,80.6,62,2534,17.5,29.7
560,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.03,6.96,43.2,78.0,0,1872,22.0,36.5
561,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.02,7.01,54.2,84.6,94,2193,18.3,31.3
562,Pasto Elefante,Forraje tropical de alta producción,5.43,7.0,62.0,81.5,0,1736,19.5,34.2
563,Alfalfa,Leguminosa rica en proteína para ganado,5.8,7.32,50.9,72.3,1075,3180,15.2,27.3
564,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.44,6.38,38.1,73.3,41,1955,22.9,35.3
565,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.08,6.73,45.8,81.0,0,2183,20.9,35.1
566,Pasto Guinea,Pasto tropical de rápido crecimiento,4.85,7.02,52.6,79.7,10,1885,22.6,33.5
567,Pasto Kikuyo,Muy usado en lechería de clima frío,5.61,7.02,63.9,92.6,1783,3146,9.6,21.6
568,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.83,7.19,66.1,84.1,1752,3275,7.5,19.8
569,Ray Grass Italiano,Forraje de alta digestibilidad,5.63,6.97,57.5,86.8,1435,3025,10.5,22.4
570,Maíz Forrajero,Utilizado principalmente para ensilaje,5.59,7.16,55.7,79.4,3,2478,17.4,31.4
571,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.96,6.87,45.9,71.0,0,2111,20.4,37.3
572,Avena Forrajera,Excelente producción en clima frío,5.68,7.21,62.0,83.4,1537,3289,8.5,19.6
573,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.02,7.53,57.9,74.5,1275,2838,11.6,24.3
574,Trébol Rojo,Forraje de buena calidad nutricional,6.2,7.17,48.5,74.9,1248,2913,9.5,24.4
575,Canavalia,Leguminosa usada como cobertura y forraje,5.42,7.47,50.8,82.2,21,1810,20.1,31.3
576,Leucaena,Árbol forrajero rico en proteína,5.6,7.52,43.8,73.1,38,1753,21.5,34.0
577,Botón de Oro,Forraje arbustivo de alta proteína,5.02,7.07,50.0,85.8,0,2539,17.5,30.9
578,King Grass,Variedad de pasto de gran rendimiento,5.44,6.9,57.5,83.6,0,1752,21.8,34.9
579,Pasto Estrella,Pasto tropical resistente al pastoreo,5.16,6.72,50.8,80.7,19,2020,22.5,36.5
580,Pasto Tanner,Pasto adaptado a suelos húmedos,4.65,6.46,68.9,88.9,0,1405,23.0,34.7
581,Pasto Pangola,Excelente digestibilidad para bovinos,5.15,7.04,55.6,82.6,0,1733,19.9,35.1
582,Moringa,Árbol forrajero con alto contenido nutricional,5.18,7.64,41.4,70.5,92,1403,24.0,38.9
583,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,4.89,7.16,50.3,75.9,0,2012,19.9,33.8
584,Pennisetum Purpureum,Pasto tropical para corte,5.58,6.93,62.7,87.2,15,1853,21.0,35.4
585,Maralfalfa,Pasto híbrido de alta producción,5.54,6.92,58.2,85.0,0,2019,19.4,34.7
586,Caña Forrajera,Utilizada como suplemento energético,5.1,7.4,55.9,81.6,56,1741,22.7,35.2
587,Centrosema,Leguminosa tropical rastrera,5.15,6.66,53.6,82.7,83,1840,19.1,33.2
588,Desmodium,Leguminosa de buena digestibilidad,5.58,7.0,51.7,81.4,40,2185,17.4,31.1
589,Guandul,Leguminosa arbustiva resistente,4.95,7.61,44.6,77.5,51,1991,19.8,34.4
590,Caupí Forrajero,Leguminosa anual tropical,4.95,6.94,48.6,73.0,82,1826,21.4,33.3
591,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.92,6.81,45.9,77.8,0,2162,20.5,36.1
592,Pasto Alemán,Forraje adaptado a zonas húmedas,5.05,6.33,68.3,97.9,78,1234,22.4,34.5
593,Pasto Jaragua,Muy resistente a altas temperaturas,4.8,6.88,38.5,68.1,0,1804,23.2,38.5
594,Pasto Angleton,Forraje tropical para pastoreo,5.01,6.92,46.3,73.4,0,1764,21.1,36.5
595,Pasto Toledo,Variedad mejorada de brachiaria,4.98,6.82,47.2,79.2,0,2300,19.4,35.1
596,Pasto Mombasa,Alta producción de biomasa,5.03,7.07,53.5,77.3,0,1836,21.3,34.5
597,Pasto Tanzania,Excelente calidad nutricional,5.19,6.82,54.0,81.2,0,1775,22.7,34.3
598,Pasto Mulato II,Híbrido resistente y nutritivo,5.15,6.63,49.2,77.9,24,2113,19.2,36.1
599,Pasto Humidícola,Ideal para terrenos inundables,4.65,6.39,74.8,92.7,95,1174,21.4,33.6
600,Pasto Rhodes,Muy usado en sistemas ganaderos,4.89,7.09,43.2,72.8,77,2197,20.2,36.4
601,Pasto Buffel,Excelente resistencia a sequía,4.82,7.65,35.5,64.0,0,1760,23.6,39.9
602,Soja Forrajera,Fuente rica en proteína vegetal,5.67,7.11,50.1,72.2,31,1786,20.4,31.3
603,Vicia,Leguminosa usada en mezcla con gramíneas,6.08,7.7,53.6,78.6,1197,2911,10.3,24.5
604,Cebada Forrajera,Excelente para climas templados,6.01,7.6,49.4,76.2,1539,3270,7.8,19.2
605,Festuca,Gramínea perenne para clima frío,5.64,6.85,60.6,86.0,1730,3261,7.1,20.4
606,Dactylis Glomerata,Pasto resistente al frío,5.49,7.02,55.6,80.7,1748,3163,7.7,19.3
607,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.69,7.45,47.8,72.5,1533,3290,10.6,23.7
608,Pasto Sudan,Híbrido de rápido crecimiento,4.92,7.18,47.1,70.4,28,1717,22.8,38.8
609,Arachis Pintoi,Leguminosa rastrera tropical,4.9,6.63,52.9,83.7,0,1829,19.9,33.3
610,Calliandra,Arbusto forrajero rico en proteína,5.6,7.44,51.7,78.4,14,2558,17.2,29.2
611,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.82,6.82,43.0,74.1,0,1900,21.3,36.8
612,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.06,7.19,53.6,82.7,69,2244,18.5,33.0
613,Pasto Elefante,Forraje tropical de alta producción,5.59,7.13,62.7,79.7,0,1833,20.7,35.5
614,Alfalfa,Leguminosa rica en proteína para ganado,6.16,7.35,51.6,69.8,996,3214,15.4,27.8
615,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.55,6.65,38.3,76.8,0,1992,21.1,36.9
616,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,5.14,6.72,47.1,82.1,9,2211,19.6,35.6
617,Pasto Guinea,Pasto tropical de rápido crecimiento,5.0,7.16,55.0,79.2,0,1759,21.1,33.7
618,Pasto Kikuyo,Muy usado en lechería de clima frío,5.61,7.18,67.0,87.1,1739,3185,10.3,21.1
619,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.78,7.03,64.3,83.6,1735,3164,7.3,19.1
620,Ray Grass Italiano,Forraje de alta digestibilidad,5.71,6.9,57.0,87.0,1525,3028,10.4,21.2
621,Maíz Forrajero,Utilizado principalmente para ensilaje,5.48,6.94,56.5,80.3,33,2409,18.7,31.4
622,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.93,6.89,42.0,73.0,0,2150,19.7,37.5
623,Avena Forrajera,Excelente producción en clima frío,5.61,7.28,61.6,87.3,1569,3300,7.8,19.9
624,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.09,7.44,57.1,77.8,1178,2880,12.0,23.4
625,Trébol Rojo,Forraje de buena calidad nutricional,5.8,7.17,51.4,74.0,1279,2967,10.6,23.4
626,Canavalia,Leguminosa usada como cobertura y forraje,5.49,7.45,52.5,82.4,0,1860,20.6,31.8
627,Leucaena,Árbol forrajero rico en proteína,5.46,7.69,45.7,75.8,0,1841,21.8,35.1
628,Botón de Oro,Forraje arbustivo de alta proteína,4.82,7.2,47.8,85.2,40,2516,18.3,29.9
629,King Grass,Variedad de pasto de gran rendimiento,5.38,7.11,62.8,87.0,0,1891,21.6,35.7
630,Pasto Estrella,Pasto tropical resistente al pastoreo,5.19,6.91,47.4,77.3,25,2058,22.4,35.3
631,Pasto Tanner,Pasto adaptado a suelos húmedos,4.99,6.46,67.4,91.8,38,1497,22.9,34.1
632,Pasto Pangola,Excelente digestibilidad para bovinos,5.04,6.86,57.2,78.6,75,1769,19.4,35.1
633,Moringa,Árbol forrajero con alto contenido nutricional,5.13,7.57,42.5,69.7,14,1429,24.3,38.5
634,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.03,7.01,50.0,72.7,99,1971,19.9,34.5
635,Pennisetum Purpureum,Pasto tropical para corte,5.7,6.98,60.1,86.2,0,1725,22.3,35.9
636,Maralfalfa,Pasto híbrido de alta producción,5.52,6.84,58.7,82.8,0,2037,19.3,34.5
637,Caña Forrajera,Utilizada como suplemento energético,4.92,7.42,54.3,78.6,0,1730,21.0,35.5
638,Centrosema,Leguminosa tropical rastrera,5.0,6.88,56.1,83.2,0,1791,20.2,34.9
639,Desmodium,Leguminosa de buena digestibilidad,5.42,7.13,49.5,79.1,0,2280,18.4,31.7
640,Guandul,Leguminosa arbustiva resistente,5.12,7.3,46.0,72.2,0,1941,20.0,35.5
641,Caupí Forrajero,Leguminosa anual tropical,4.92,7.01,47.4,73.6,0,1737,21.5,34.0
642,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.97,6.95,45.4,81.8,0,2288,20.6,36.2
643,Pasto Alemán,Forraje adaptado a zonas húmedas,5.08,6.4,67.0,97.4,4,1267,22.3,33.6
644,Pasto Jaragua,Muy resistente a altas temperaturas,4.61,6.81,39.3,67.1,27,1851,24.7,37.7
645,Pasto Angleton,Forraje tropical para pastoreo,5.16,6.86,46.5,75.9,0,1748,22.4,36.9
646,Pasto Toledo,Variedad mejorada de brachiaria,5.0,6.99,48.2,81.4,88,2237,20.3,35.7
647,Pasto Mombasa,Alta producción de biomasa,5.19,7.2,54.2,81.5,93,1891,21.9,34.5
648,Pasto Tanzania,Excelente calidad nutricional,5.07,6.89,56.1,78.8,0,1855,21.8,34.4
649,Pasto Mulato II,Híbrido resistente y nutritivo,4.98,6.64,52.1,81.5,0,2206,19.6,36.1
650,Pasto Humidícola,Ideal para terrenos inundables,4.55,6.34,76.5,96.2,0,1168,22.7,34.9
651,Pasto Rhodes,Muy usado en sistemas ganaderos,5.19,7.19,43.2,74.1,0,2226,19.4,35.7
652,Pasto Buffel,Excelente resistencia a sequía,5.02,7.68,37.2,62.3,84,1876,23.8,40.9
653,Soja Forrajera,Fuente rica en proteína vegetal,5.92,7.29,47.5,77.1,0,1892,19.7,31.1
654,Vicia,Leguminosa usada en mezcla con gramíneas,5.87,7.41,53.2,81.6,1176,3015,9.7,23.1
655,Cebada Forrajera,Excelente para climas templados,6.08,7.55,51.1,73.7,1576,3277,8.5,20.4
656,Festuca,Gramínea perenne para clima frío,5.63,6.94,61.0,85.3,1887,3273,7.9,19.4
657,Dactylis Glomerata,Pasto resistente al frío,5.4,7.17,53.5,77.1,1852,3265,7.7,19.1
658,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.48,7.44,47.4,76.3,1423,3134,9.1,24.1
659,Pasto Sudan,Híbrido de rápido crecimiento,5.18,6.93,46.6,68.6,0,1824,21.6,38.8
660,Arachis Pintoi,Leguminosa rastrera tropical,4.81,6.87,53.6,84.1,0,1777,20.4,34.9
661,Calliandra,Arbusto forrajero rico en proteína,5.58,7.57,49.8,80.4,0,2577,17.1,29.2
662,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,4.99,7.19,43.7,76.3,0,1818,21.9,35.1
663,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,4.83,6.82,56.1,83.4,0,2247,17.9,31.8
664,Pasto Elefante,Forraje tropical de alta producción,5.65,6.97,62.5,81.0,0,1865,20.3,35.7
665,Alfalfa,Leguminosa rica en proteína para ganado,6.02,7.3,51.4,67.9,1041,3240,14.1,27.3
666,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.57,6.7,38.3,77.9,0,1969,22.7,35.2
667,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.91,6.71,45.3,78.5,21,2247,20.1,35.7
668,Pasto Guinea,Pasto tropical de rápido crecimiento,4.91,7.14,53.9,80.1,0,1863,22.6,35.0
669,Pasto Kikuyo,Muy usado en lechería de clima frío,5.6,6.88,67.2,87.0,1851,3278,9.1,21.7
670,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.96,7.3,67.7,85.2,1801,3292,7.7,19.9
671,Ray Grass Italiano,Forraje de alta digestibilidad,5.74,6.97,62.5,82.8,1430,2905,9.9,22.5
672,Maíz Forrajero,Utilizado principalmente para ensilaje,5.63,7.04,55.1,81.0,0,2421,18.2,31.2
673,Sorgo Forrajero,Alta tolerancia al calor y sequía,5.07,6.82,44.0,69.9,0,2121,20.7,37.8
674,Avena Forrajera,Excelente producción en clima frío,5.6,7.4,61.9,85.3,1472,3197,8.5,20.7
675,Trébol Blanco,Leguminosa fijadora de nitrógeno,5.97,7.55,57.4,75.3,1150,2703,11.1,24.9
676,Trébol Rojo,Forraje de buena calidad nutricional,5.81,7.23,48.6,76.7,1195,2968,9.2,23.2
677,Canavalia,Leguminosa usada como cobertura y forraje,5.62,7.46,49.8,79.2,0,1713,20.8,32.6
678,Leucaena,Árbol forrajero rico en proteína,5.32,7.56,47.4,72.1,84,1747,21.2,34.5
679,Botón de Oro,Forraje arbustivo de alta proteína,5.04,6.85,50.3,84.1,0,2405,17.9,29.6
680,King Grass,Variedad de pasto de gran rendimiento,5.46,7.19,59.2,87.7,0,1786,21.3,34.9
681,Pasto Estrella,Pasto tropical resistente al pastoreo,4.86,6.78,47.1,81.7,0,1933,22.6,35.5
682,Pasto Tanner,Pasto adaptado a suelos húmedos,4.83,6.43,67.7,88.2,0,1416,22.4,34.8
683,Pasto Pangola,Excelente digestibilidad para bovinos,5.07,7.18,56.7,81.8,64,1843,19.3,35.7
684,Moringa,Árbol forrajero con alto contenido nutricional,5.11,7.53,37.1,70.3,0,1411,23.3,37.2
685,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.0,6.97,49.0,73.9,0,1955,20.9,34.0
686,Pennisetum Purpureum,Pasto tropical para corte,5.67,7.09,62.5,84.5,48,1726,21.3,34.0
687,Maralfalfa,Pasto híbrido de alta producción,5.64,7.01,58.2,87.8,35,1944,19.8,35.3
688,Caña Forrajera,Utilizada como suplemento energético,4.8,7.51,56.2,81.4,0,1771,22.3,36.8
689,Centrosema,Leguminosa tropical rastrera,5.13,6.67,57.4,85.3,0,1839,19.7,33.2
690,Desmodium,Leguminosa de buena digestibilidad,5.4,7.03,51.3,81.1,64,2184,17.4,32.8
691,Guandul,Leguminosa arbustiva resistente,5.19,7.55,42.9,76.6,0,1966,20.4,35.5
692,Caupí Forrajero,Leguminosa anual tropical,5.1,6.8,51.9,74.6,89,1784,21.1,33.3
693,Pasto Bermuda,Pasto resistente y de rápido crecimiento,4.83,6.91,45.6,80.2,0,2297,20.0,36.3
694,Pasto Alemán,Forraje adaptado a zonas húmedas,5.03,6.46,69.9,97.0,55,1201,22.4,34.6
695,Pasto Jaragua,Muy resistente a altas temperaturas,4.82,6.83,40.0,67.7,0,1729,23.8,38.3
696,Pasto Angleton,Forraje tropical para pastoreo,5.0,6.96,47.6,73.9,75,1796,21.9,35.1
697,Pasto Toledo,Variedad mejorada de brachiaria,5.17,6.98,51.5,82.8,68,2198,20.8,36.0
698,Pasto Mombasa,Alta producción de biomasa,5.1,6.82,56.2,81.3,0,1716,21.7,34.5
699,Pasto Tanzania,Excelente calidad nutricional,4.82,7.07,56.8,79.9,0,1831,21.4,35.5
700,Pasto Mulato II,Híbrido resistente y nutritivo,5.16,6.92,50.4,79.3,65,2297,20.4,35.2
701,Pasto Humidícola,Ideal para terrenos inundables,4.5,6.5,77.7,97.1,17,1248,22.8,33.3
702,Pasto Rhodes,Muy usado en sistemas ganaderos,4.95,6.81,46.7,72.7,0,2300,19.4,36.8
703,Pasto Buffel,Excelente resistencia a sequía,5.09,7.6,34.3,64.8,0,1887,23.7,40.4
704,Soja Forrajera,Fuente rica en proteína vegetal,5.97,7.25,49.2,77.6,0,1703,20.4,32.5
705,Vicia,Leguminosa usada en mezcla con gramíneas,6.02,7.39,54.4,78.1,1300,3015,10.9,24.5
706,Cebada Forrajera,Excelente para climas templados,5.9,7.39,52.7,73.1,1478,3261,7.2,19.8
707,Festuca,Gramínea perenne para clima frío,5.42,7.13,61.6,83.6,1720,3144,9.0,20.6
708,Dactylis Glomerata,Pasto resistente al frío,5.44,7.07,56.2,81.9,1856,3230,8.2,20.1
709,Lotus Corniculatus,Leguminosa adaptada a zonas frías,5.38,7.39,47.7,77.0,1586,3102,9.8,23.0
710,Pasto Sudan,Híbrido de rápido crecimiento,5.18,7.09,44.2,68.8,46,1866,21.3,38.1
711,Arachis Pintoi,Leguminosa rastrera tropical,5.11,6.75,52.4,86.8,0,1850,20.3,34.7
712,Calliandra,Arbusto forrajero rico en proteína,5.31,7.47,47.3,82.4,37,2521,18.9,29.2
713,Yuca Forrajera,Raíz y follaje utilizados en alimentación animal,5.1,6.83,45.9,77.0,0,1807,22.1,36.2
714,Nacedero,Árbol forrajero usado en sistemas silvopastoriles,5.09,7.15,56.8,87.0,0,2290,17.1,31.5
715,Pasto Elefante,Forraje tropical de alta producción,5.52,7.13,62.4,78.2,0,1810,20.3,34.1
716,Alfalfa,Leguminosa rica en proteína para ganado,5.86,7.31,47.8,68.0,965,3279,15.5,28.0
717,Brachiaria Decumbens,Pasto resistente a sequías y suelos pobres,4.46,6.59,40.2,76.0,0,1917,22.5,36.6
718,Brachiaria Brizantha,Forraje tropical para pastoreo intensivo,4.83,6.95,45.8,82.9,0,2168,20.6,34.5
719,Pasto Guinea,Pasto tropical de rápido crecimiento,5.0,6.89,55.0,79.9,99,1839,22.7,33.2
720,Pasto Kikuyo,Muy usado en lechería de clima frío,5.3,6.87,63.8,92.6,1843,3267,9.4,23.0
721,Ray Grass Inglés,Ideal para zonas frías y húmedas,5.67,7.37,64.2,83.0,1702,3116,8.1,20.3
722,Ray Grass Italiano,Forraje de alta digestibilidad,5.91,6.94,60.7,83.4,1530,3063,9.4,21.4
723,Maíz Forrajero,Utilizado principalmente para ensilaje,5.33,7.02,53.2,83.0,72,2575,17.9,31.3
724,Sorgo Forrajero,Alta tolerancia al calor y sequía,4.95,7.09,44.7,72.6,0,2246,19.1,37.6
725,Avena Forrajera,Excelente producción en clima frío,5.98,7.44,58.9,85.1,1560,3279,8.6,19.8
726,Trébol Blanco,Leguminosa fijadora de nitrógeno,6.05,7.53,56.9,74.5,1129,2780,13.0,24.2
727,Trébol Rojo,Forraje de buena calidad nutricional,5.88,7.3,51.4,74.3,1276,2980,9.6,24.3
728,Canavalia,Leguminosa usada como cobertura y forraje,5.61,7.31,47.8,81.9,89,1793,19.2,31.3
729,Leucaena,Árbol forrajero rico en proteína,5.61,7.62,46.3,75.7,82,1741,22.2,35.5
730,Botón de Oro,Forraje arbustivo de alta proteína,5.09,6.9,50.5,88.0,77,2473,17.6,29.3
731,King Grass,Variedad de pasto de gran rendimiento,5.67,6.82,59.2,87.1,0,1783,21.6,35.3
732,Pasto Estrella,Pasto tropical resistente al pastoreo,5.03,6.75,48.7,77.5,82,2022,22.3,35.3
733,Pasto Tanner,Pasto adaptado a suelos húmedos,4.85,6.35,72.9,92.0,0,1539,21.3,33.6
734,Pasto Pangola,Excelente digestibilidad para bovinos,5.06,7.0,56.7,81.2,89,1817,20.4,35.1
735,Moringa,Árbol forrajero con alto contenido nutricional,4.96,7.44,41.9,68.3,0,1561,23.5,37.6
736,Cratylia,Leguminosa arbustiva para sistemas silvopastoriles,5.1,6.83,51.2,73.5,0,2034,20.2,34.1
737,Pennisetum Purpureum,Pasto tropical para corte,5.35,6.8,59.4,84.3,23,1798,22.3,34.7
738,Maralfalfa,Pasto híbrido de alta producción,5.58,7.17,62.1,87.9,0,2093,20.4,35.3
739,Caña Forrajera,Utilizada como suplemento energético,5.01,7.65,52.2,77.4,32,1760,21.6,36.3
740,Centrosema,Leguminosa tropical rastrera,5.11,6.84,55.9,82.2,0,1736,20.1,33.3
741,Desmodium,Leguminosa de buena digestibilidad,5.48,6.86,51.1,78.0,9,2157,17.8,31.7
742,Guandul,Leguminosa arbustiva resistente,5.0,7.42,45.2,74.4,0,1981,19.5,35.8
743,Caupí Forrajero,Leguminosa anual tropical,4.85,7.14,52.4,73.6,0,1766,22.3,35.0
744,Pasto Bermuda,Pasto resistente y de rápido crecimiento,5.03,7.16,45.7,82.7,0,2132,19.0,36.2
745,Pasto Alemán,Forraje adaptado a zonas húmedas,5.08,6.66,69.5,94.1,30,1263,22.9,33.8
746,Pasto Jaragua,Muy resistente a altas temperaturas,4.89,6.98,39.3,67.9,0,1716,24.3,37.0
747,Pasto Angleton,Forraje tropical para pastoreo,5.15,6.83,44.6,72.4,0,1861,21.2,36.8
748,Pasto Toledo,Variedad mejorada de brachiaria,5.1,6.85,47.4,77.7,84,2251,19.4,34.6
749,Pasto Mombasa,Alta producción de biomasa,5.01,7.04,56.0,80.8,8,1832,21.5,34.9
750,Pasto Tanzania,Excelente calidad nutricional,5.02,6.9,57.4,77.5,0,1868,21.8,34.2
